"awayAST.awayBLK.awayPF.awayORB.awayDRB.awayTRB.homeAST.homeBLK.homePF.homeORB.homeDRB.homeTRB.awayFGR.homeFGR.away2PR.home2PR.away3PR.home3PR.awayFTR.homeFTR.homeAttR.awayAttR.homeScore.awayScore.win"
"11","11 20.6666666666667 5.33333333333333 20.7777777777778 13.2222222222222 29.5555555555556 42.7777777777778 22.8888888888889 5.33333333333333 20.7777777777778 11.1111111111111 30.2222222222222 41.3333333333333 0.418705767860762 0.451493621328061 0.465556547329262 0.476887326785203 0.254392068836513 0.388721015253523 0.742348663470095 0.721854094383619 0.355161095605724 0.330343429976531 79 72 TRUE"
"12","12 21.1111111111111 5.44444444444444 20.5555555555556 12.7777777777778 29.3333333333333 42.1111111111111 22.8888888888889 5.33333333333333 20.5555555555556 11.1111111111111 31.5555555555556 42.6666666666667 0.422063521218515 0.45006911990356 0.464844296617011 0.479293073082072 0.27096126961624 0.365975917214307 0.710116431237862 0.749394455257313 0.352606685525541 0.333550885798366 67 65 TRUE"
"13","13 19.8888888888889 5.77777777777778 19.7777777777778 13.1111111111111 29.1111111111111 42.2222222222222 22.8888888888889 5.66666666666667 20 10.7777777777778 31.7777777777778 42.5555555555556 0.415142148018072 0.451493621328061 0.446721978689192 0.47281534028855 0.289032480924167 0.394058945297335 0.719514927478464 0.768551543379919 0.348057947433528 0.326153186657548 65 69 FALSE"
"14","14 19.4444444444444 5 19.5555555555556 12.8888888888889 30 42.8888888888889 23.4444444444444 5.44444444444444 19.6666666666667 11.2222222222222 32.4444444444444 43.6666666666667 0.415550644750098 0.447582382503029 0.442719218164692 0.465965531362168 0.307214299105985 0.39910945034784 0.726634174872311 0.752469672034889 0.345023966851003 0.322032963314459 73 82 FALSE"
"15","15 19.8888888888889 4.44444444444444 19.1111111111111 13.1111111111111 28.5555555555556 41.6666666666667 24 5.44444444444444 19.3333333333333 11.1111111111111 31.8888888888889 43 0.424023931837843 0.45846964339029 0.44702923124866 0.478341921018823 0.322662902789883 0.410819689999257 0.712472954828738 0.758818878384096 0.355417316788475 0.330413060583445 67 62 TRUE"
"16","16 19.5555555555556 4.66666666666667 18.2222222222222 13.4444444444444 29.4444444444444 42.8888888888889 23.6666666666667 5.44444444444444 19.1111111111111 10.7777777777778 31 41.7777777777778 0.428578115651286 0.45260812970269 0.448351982571412 0.478602677211782 0.338907217279811 0.366375245554812 0.698331540687324 0.755629085720619 0.353905600991045 0.332373844897171 74 78 TRUE"
"17","17 20.3333333333333 4.22222222222222 17.1111111111111 12.7777777777778 29.1111111111111 41.8888888888889 24 5.11111111111111 18.7777777777778 10.2222222222222 32.3333333333333 42.5555555555556 0.431711584485975 0.461474267746786 0.452133933536461 0.48155439553352 0.339715298087892 0.390602480308363 0.686691329047112 0.768449598541132 0.358868079809733 0.335990197098428 80 72 TRUE"
"18","18 20.3333333333333 3.77777777777778 17.3333333333333 13.5555555555556 30.1111111111111 43.6666666666667 23.6666666666667 6 19 9.55555555555556 30.1111111111111 39.6666666666667 0.430734714252156 0.46129611942049 0.452893077773866 0.479648643627768 0.338081311159787 0.384888194594077 0.688315760496105 0.786623051497193 0.356600506113588 0.334192282679155 79 70 TRUE"
"19","19 19.2222222222222 3.77777777777778 17.3333333333333 14 28.3333333333333 42.3333333333333 24.1111111111111 6.88888888888889 19 9.44444444444444 30.5555555555556 40 0.419582629025997 0.469997591977384 0.440012374752318 0.481439445418569 0.335859088937565 0.418838811878028 0.704827628401162 0.821043341352266 0.364740514253596 0.328268208026558 71 73 TRUE"
"20","20 19.5555555555556 3.55555555555556 17.4444444444444 13.6666666666667 28.7777777777778 42.4444444444444 24 6.33333333333333 18.8888888888889 8.44444444444444 30.3333333333333 38.7777777777778 0.424278396221764 0.476762347600587 0.445542328669369 0.500525530791184 0.348990402068878 0.407442800482016 0.721288533750956 0.827392547701472 0.368647188154844 0.332317207081106 68 94 FALSE"
"21","21 20.2222222222222 3.77777777777778 17.6666666666667 13.3333333333333 29.5555555555556 42.8888888888889 23.7777777777778 6 18.3333333333333 8.55555555555556 28.6666666666667 37.2222222222222 0.437667220586198 0.467889248366042 0.460651234100855 0.487803988014996 0.358347127215077 0.414632342965676 0.762029274491697 0.84491391522284 0.363795703006329 0.345362474570818 70 63 TRUE"
"22","22 20.7777777777778 3.55555555555556 17.5555555555556 13.5555555555556 31.1111111111111 44.6666666666667 24.4444444444444 6 18.5555555555556 8.88888888888889 28.5555555555556 37.4444444444444 0.442475810688906 0.462878933010899 0.467524336711663 0.48390366298791 0.353033117553241 0.403414394247728 0.744833507295929 0.807876878185803 0.365526405671611 0.35095919691066 65 65 FALSE"
"23","23 20.2222222222222 4 18 13.6666666666667 32.1111111111111 45.7777777777778 24.2222222222222 6.11111111111111 20 8.55555555555556 28.7777777777778 37.3333333333333 0.443467874180969 0.457186152923401 0.468087943797009 0.483754834480873 0.357073521593645 0.37563661646995 0.728942330077521 0.792444779420371 0.361877629777073 0.35036957426915 79 66 TRUE"
"24","24 18.8888888888889 5 18.6666666666667 13.8888888888889 32 45.8888888888889 24.1111111111111 6.77777777777778 21.1111111111111 9.44444444444444 30 39.4444444444444 0.422484228197323 0.45227407904581 0.450266254123312 0.477746604028198 0.324393783031554 0.361747727581061 0.73939984641739 0.808234253104581 0.358419792905612 0.334485240737758 70 69 FALSE"
"25","25 19.5555555555556 4.44444444444444 18.5555555555556 14.2222222222222 32.8888888888889 47.1111111111111 24.7777777777778 7.33333333333333 22.1111111111111 9.88888888888889 30.2222222222222 40.1111111111111 0.429052724404374 0.455064776720229 0.458025079046316 0.483782928814523 0.325124777183601 0.369828535661869 0.731319038336582 0.781626065970078 0.363710798196617 0.344005937905514 88 72 TRUE"
"26","26 18.8888888888889 4.77777777777778 19.5555555555556 13.7777777777778 32 45.7777777777778 25.1111111111111 8 22 11 29.6666666666667 40.6666666666667 0.430922382524032 0.455064776720229 0.453085720673859 0.477246981102105 0.349569221628045 0.401574567407901 0.749032403876035 0.76310754745156 0.362094102135477 0.343842539212704 80 81 FALSE"
"27","27 19.3333333333333 6.33333333333333 19.2222222222222 13 32.2222222222222 45.2222222222222 24.8888888888889 6.66666666666667 22 12.1111111111111 30.8888888888889 43 0.434706066540274 0.448730759859896 0.451916950220376 0.473853315943734 0.373930481283422 0.388241234074567 0.75181714350288 0.753928803490207 0.357692341431195 0.345844541214706 76 64 TRUE"
"28","28 19.6666666666667 6.55555555555556 19.2222222222222 13 32.5555555555556 45.5555555555556 23.8888888888889 6.33333333333333 23.1111111111111 11.8888888888889 30.6666666666667 42.5555555555556 0.434534598776214 0.445806783251709 0.457699290211357 0.468755635846053 0.344015951368893 0.38762395012395 0.757908761436603 0.751356787029302 0.35173098252866 0.340545271310625 70 61 TRUE"
